ข้อคำถาม,5,5(%),4,4(%),3,3(%),2,2(%),1,1(%),0,0(%),x_bar,SD,topic,degree,semester,subject,section,นักศึกษาที่จดทะเบียน,นักศึกษาที่ประเมิน,url,year,sem,n,class,situation
สอนอย่างเป็นระบบ,4,66.67,1,16.67,0,0,1,16.67,0,0,0,0,4.33,1.21,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
สอนให้คิด วิเคราะห์ วิจารณ์,4,66.67,0,0,1,16.67,1,16.67,0,0,0,0,4.17,1.33,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
กระตุ้นบรรยากาศการเรียนการสอน มีวิธีสอนที่น่าสนใจและน่าติดตาม,2,33.33,1,16.67,1,16.67,1,16.67,1,16.67,0,0,3.33,1.63,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
เปิดโอกาสให้แสดงความคิดเห็นและแลกเปลี่ยนประสบการณ์ ทั้งภายในและภายนอกห้องเรียน,3,50,2,33.33,0,0,0,0,1,16.67,0,0,4,1.55,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
มีการให้นำเสนองาน/มีการวัดผลโดยวิธีอื่นๆที่สะท้อนความสามารถของผู้เรียนนอกเหนือจากการตอบข้อสอบ,3,50,2,33.33,1,16.67,0,0,0,0,0,0,4.33,0.82,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
ทำให้เห็นความสัมพันธ์กับวิชาอื่นที่เกี่ยวข้อง,3,50,2,33.33,0,0,1,16.67,0,0,0,0,4.17,1.17,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
ใช้สื่อและอุปกรณ์ช่วยสอนได้ดี,3,50,2,33.33,0,0,1,16.67,0,0,0,0,4.17,1.17,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
แนะนำแหล่งค้นคว้าข้อมูลเพิ่มเติมให้,3,50,1,16.67,1,16.67,1,16.67,0,0,0,0,4,1.26,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
ผู้สอนแจ้งวัตถุประสงค์และเนื้อหารายวิชาตามเค้าโครงการสอนรายวิชาอย่างชัดเจน,4,66.67,1,16.67,1,16.67,0,0,0,0,0,0,4.5,0.84,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
ผู้สอนแจ้งเกณฑ์และวิธีประเมินผลล่วงหน้าชัดเจน,5,83.33,1,16.67,0,0,0,0,0,0,0,0,4.83,0.41,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
ผู้สอนเข้าสอนและเลิกสอนตรงเวลา,6,100,0,0,0,0,0,0,0,0,0,0,5,0.00,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
ผู้สอนมาสอนสม่ำเสมอ,6,100,0,0,0,0,0,0,0,0,0,0,5,0.00,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
ผู้สอนสอนเนื้อหาครบถ้วน และสอดคล้องตามเค้าโครงการสอนรายวิชา,3,50,3,50,0,0,0,0,0,0,0,0,4.5,0.55,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
ผู้สอนมีการเตรียมการสอนมาอย่างดี,3,50,2,33.33,0,0,1,16.67,0,0,0,0,4.17,1.17,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,1/2562,FGL497,231863,43,6 (13.95%),https://sgulyano.github.io/eval/02226005.html,2562,1,6,1/2562|FGL497|231863,normal
